,neural-chat,granite3.2,gemma3,gemma3-12b,llama3.2,llama3.1,deepseek-r1-8b,deepseek-r1-14b,phi4,orca2-13b
neural-chat,1.0,0.7539428472518921,0.7770777344703674,0.7095937132835388,0.7473546266555786,0.7394040822982788,0.7289107441902161,0.7370471358299255,0.7534502744674683,0.7659397125244141
granite3.2,0.7539428472518921,0.9999998807907104,0.7732587456703186,0.7440216541290283,0.746421217918396,0.7309591174125671,0.7338337898254395,0.733526349067688,0.7817927598953247,0.7539839744567871
gemma3,0.7770777344703674,0.7732587456703186,0.9999999403953552,0.7535378336906433,0.7522327303886414,0.7526768445968628,0.7332280278205872,0.7653276324272156,0.768092691898346,0.7562845945358276
gemma3-12b,0.7095937132835388,0.7440216541290283,0.7535378336906433,1.0,0.7061079144477844,0.7221179604530334,0.7268129587173462,0.7427529096603394,0.7333558797836304,0.7519477009773254
llama3.2,0.7473546266555786,0.746421217918396,0.7522327303886414,0.7061079144477844,1.0,0.7191391587257385,0.7060384154319763,0.7022731900215149,0.747938334941864,0.7386587858200073
llama3.1,0.7394040822982788,0.7309591174125671,0.7526768445968628,0.7221179008483887,0.7191391587257385,1.0,0.6926605701446533,0.7119958996772766,0.7280331254005432,0.743048369884491
deepseek-r1-8b,0.7289107441902161,0.7338337898254395,0.7332280278205872,0.7268129587173462,0.7060384154319763,0.6926605701446533,0.9999998807907104,0.7910829782485962,0.7313662767410278,0.721687912940979
deepseek-r1-14b,0.7370471358299255,0.733526349067688,0.7653276324272156,0.7427529096603394,0.7022731900215149,0.7119958996772766,0.7910829782485962,1.0,0.739937961101532,0.7379300594329834
phi4,0.7534502744674683,0.7817927598953247,0.768092691898346,0.7333558797836304,0.747938334941864,0.7280331254005432,0.7313662767410278,0.739937961101532,0.9999999403953552,0.7581930160522461
orca2-13b,0.7659397125244141,0.7539839744567871,0.7562845349311829,0.7519477009773254,0.7386587858200073,0.7430483102798462,0.721687912940979,0.7379300594329834,0.7581930160522461,1.0
