,neural-chat,granite3.2,gemma3,gemma3-12b,llama3.2,llama3.1,deepseek-r1-8b,deepseek-r1-14b,phi4,orca2-13b
neural-chat,1.0,0.07487991304314424,0.07497773524826777,0.045243642982282055,1.2396752743412374e-78,3.3922810697237464e-155,1.4355245497970268e-78,0.0916264692716161,0.08254231907771824,0.09593966390526171
granite3.2,0.07351770076592964,1.0,0.08178467481151962,0.08243454818409997,0.10220133748434299,8.523857613561547e-79,0.060399681161542526,0.06539935848818046,0.18772531763834402,0.11159132885398283
gemma3,0.07516926824501124,0.08495820317077625,1.0,0.11222143683659264,0.03656192774308051,0.04412763497937193,0.041031922586765614,0.1048202673675018,0.0925729107717463,0.08416068843788228
gemma3-12b,0.04596044677993421,0.08890998678182463,0.1127273863315965,1.0,1.4560641817066704e-78,1.6022584728310507e-78,1.3361159051531874e-78,0.05575823739431554,0.08215899215651627,0.11706250330110277
llama3.2,1.2195144964476306e-78,0.10305695806441584,0.03623837467952083,1.3311459025546322e-78,1.0,0.03584894484599638,0.05463529014169463,0.039143195053359406,0.08421068363780063,0.04282199397492184
llama3.1,4.809482015881876e-155,1.3007716640719611e-78,0.047696969809809676,1.7881727799540267e-78,0.041829059833844176,1.0,0.03206088581544935,0.060041604839166846,0.039852602144824764,0.059096624018333405
deepseek-r1-8b,1.4704580736459125e-78,0.06284094386050539,0.041030841650210786,1.2985938249718536e-78,0.05516306258819677,0.029729331736742547,1.0,0.20281549367959767,0.056781743542240935,0.0756956443814453
deepseek-r1-14b,0.09157336812415517,0.06611795121105189,0.10413461157727474,0.05440293861571184,0.03914474326426682,0.052060771768529836,0.20136371593392674,1.0,0.07772875549817738,0.1031576782314577
phi4,0.08056086656078136,0.18768654105823102,0.08835115162507012,0.07523644895446986,0.0831741402862253,0.03003017464311421,0.054098300215532795,0.0765306340080471,1.0,0.08688949262548425
orca2-13b,0.09857567921806996,0.12338536129236265,0.08509986505136292,0.1171696292057601,0.04476505096570411,0.05763999095418544,0.07648000750230015,0.107226602512878,0.09747550896475973,1.0
