,neural-chat,granite3.2,gemma3,gemma3-12b,llama3.2,llama3.1,deepseek-r1-8b,deepseek-r1-14b,phi4,orca2-13b
neural-chat,1.0,0.1367837338262477,0.16534181240063592,0.19141914191419143,0.13871817383669888,0.2004889975550122,0.16967792615868027,0.15561959654178675,0.17792985457656116,0.17191097467382963
granite3.2,0.1367837338262477,1.0,0.26781326781326786,0.23958333333333334,0.2589928057553957,0.24521072796934867,0.1712907117008444,0.2613065326633166,0.29517241379310344,0.18160651920838183
gemma3,0.16534181240063592,0.26781326781326786,1.0,0.2860169491525424,0.24569460390355913,0.2940563086548488,0.2447761194029851,0.2018111254851229,0.23973362930077693,0.2144927536231884
gemma3-12b,0.19141914191419143,0.23958333333333334,0.2860169491525424,1.0,0.18181818181818182,0.2059145673603505,0.18352450469238787,0.24484181568088034,0.2994152046783626,0.20222446916076847
llama3.2,0.13871817383669888,0.2589928057553957,0.24569460390355913,0.18181818181818182,1.0,0.33571428571428563,0.19187358916478556,0.2385321100917431,0.23273657289002558,0.2052401746724891
llama3.1,0.2004889975550122,0.24521072796934867,0.2940563086548488,0.2059145673603505,0.33571428571428563,1.0,0.23203285420944558,0.261455525606469,0.2597701149425287,0.2250996015936255
deepseek-r1-8b,0.16967792615868027,0.1712907117008444,0.2447761194029851,0.18352450469238787,0.19187358916478556,0.23203285420944558,1.0,0.1802030456852792,0.2074235807860262,0.2038095238095238
deepseek-r1-14b,0.15561959654178675,0.2613065326633166,0.2018111254851229,0.24484181568088034,0.2385321100917431,0.261455525606469,0.1802030456852792,1.0,0.3362573099415205,0.19559902200488996
phi4,0.17792985457656116,0.29517241379310344,0.23973362930077693,0.2994152046783626,0.23273657289002558,0.2597701149425287,0.2074235807860262,0.3362573099415205,1.0,0.20084566596194503
orca2-13b,0.17191097467382963,0.18160651920838183,0.2144927536231884,0.20222446916076847,0.2052401746724891,0.2250996015936255,0.2038095238095238,0.19559902200488996,0.20084566596194503,1.0
