,neural-chat,granite3.2,gemma3,gemma3-12b,llama3.2,llama3.1,deepseek-r1-8b,deepseek-r1-14b,phi4,orca2-13b
neural-chat,1.0,0.2101313320825516,0.2408602150537634,0.18666666666666668,0.17600000000000002,0.2048780487804878,0.2570806100217865,0.3423799582463466,0.2495412844036697,0.2772727272727272
granite3.2,0.2101313320825516,1.0,0.2924901185770751,0.28513238289205706,0.27356746765249534,0.22616407982261638,0.31999999999999995,0.3076923076923077,0.3174061433447099,0.2785862785862786
gemma3,0.2408602150537634,0.2924901185770751,1.0,0.24586288416075647,0.23255813953488372,0.27676240208877284,0.3333333333333333,0.39823008849557523,0.28957528957528955,0.25181598062953997
gemma3-12b,0.18666666666666668,0.28513238289205706,0.24586288416075647,1.0,0.17903930131004367,0.2771739130434782,0.23501199040767387,0.2974828375286041,0.24254473161033793,0.3366834170854271
llama3.2,0.17600000000000002,0.27356746765249534,0.23255813953488372,0.17903930131004367,1.0,0.23923444976076555,0.25695931477516065,0.23819301848049282,0.24593128390596744,0.20982142857142855
llama3.1,0.2048780487804878,0.22616407982261638,0.27676240208877284,0.2771739130434782,0.23923444976076555,1.0,0.259946949602122,0.2770780856423174,0.2332613390928726,0.28491620111731847
deepseek-r1-8b,0.2570806100217865,0.31999999999999995,0.3333333333333333,0.23501199040767387,0.25695931477516065,0.259946949602122,1.0,0.43946188340807174,0.32421875,0.26044226044226043
deepseek-r1-14b,0.3423799582463466,0.3076923076923077,0.39823008849557523,0.2974828375286041,0.23819301848049282,0.2770780856423174,0.43946188340807174,1.0,0.3533834586466165,0.27634660421545665
phi4,0.2495412844036697,0.3174061433447099,0.28957528957528955,0.24254473161033793,0.24593128390596744,0.2332613390928726,0.32421875,0.3533834586466165,1.0,0.24746450304259637
orca2-13b,0.2772727272727272,0.2785862785862786,0.25181598062953997,0.3366834170854271,0.20982142857142855,0.28491620111731847,0.26044226044226043,0.27634660421545665,0.24746450304259637,1.0
