,neural-chat,granite3.2,gemma3,gemma3-12b,llama3.2,llama3.1,deepseek-r1-8b,deepseek-r1-14b,phi4,orca2-13b
neural-chat,1.0,0.6432076096534729,0.7190669178962708,0.6824435591697693,0.7138087153434753,0.7285544872283936,0.685010552406311,0.7297461628913879,0.6728222966194153,0.7408607006072998
granite3.2,0.6432076096534729,1.0,0.7361449599266052,0.7407344579696655,0.7359977960586548,0.7439621090888977,0.6442925930023193,0.6738932132720947,0.7468249797821045,0.6983140707015991
gemma3,0.7190669178962708,0.7361449599266052,1.0,0.8044219613075256,0.7605295181274414,0.7715132832527161,0.7154983282089233,0.7937334775924683,0.7508890628814697,0.7665490508079529
gemma3-12b,0.6824435591697693,0.7407345771789551,0.8044219613075256,1.0,0.722666323184967,0.7348626255989075,0.7213336825370789,0.7507573366165161,0.7636239528656006,0.7054521441459656
llama3.2,0.7138087153434753,0.7359978556632996,0.7605295181274414,0.722666323184967,1.0,0.8252267837524414,0.7155216932296753,0.7438215613365173,0.7500583529472351,0.7641357183456421
llama3.1,0.7285544872283936,0.7439621686935425,0.7715132832527161,0.7348626255989075,0.8252267837524414,1.0,0.7253146767616272,0.735591471195221,0.7519202828407288,0.77004474401474
deepseek-r1-8b,0.685010552406311,0.6442926526069641,0.7154983282089233,0.7213336825370789,0.7155216932296753,0.7253146767616272,1.0,0.7082436084747314,0.737142026424408,0.6880364418029785
deepseek-r1-14b,0.7297461628913879,0.6738933324813843,0.7937334775924683,0.7507573366165161,0.7438215613365173,0.735591471195221,0.7082436084747314,1.0,0.7699014544487,0.7477970123291016
phi4,0.6728222966194153,0.7468249797821045,0.7508890628814697,0.7636239528656006,0.7500583529472351,0.7519202828407288,0.737142026424408,0.7699014544487,1.0,0.6946499943733215
orca2-13b,0.7408607006072998,0.6983140707015991,0.7665490508079529,0.7054521441459656,0.7641357183456421,0.77004474401474,0.6880364418029785,0.7477970123291016,0.6946499943733215,1.0
