,neural-chat,granite3.2,gemma3,gemma3-12b,llama3.2,llama3.1,deepseek-r1-8b,deepseek-r1-14b,phi4,orca2-13b
neural-chat,1.0,1.6429765097835638e-79,0.023630493169842788,1.2109576442151513e-155,0.01889795932434085,0.016571416184396847,1.3993676931381717e-155,0.00783207340445688,0.005983583224320862,1.2918379916245613e-78
granite3.2,4.699661776024766e-79,1.0,0.05150255618586578,0.033436571890067615,0.0441947651487816,0.036745139460314755,1.0210371026662633e-78,1.3350887731923023e-78,0.032550422463085205,1.1690071408466374e-78
gemma3,0.028685213823955967,0.04516051207573437,1.0,0.10127053629655451,0.060667577009328406,0.06684579340817862,0.021400424676737893,0.04527549485818306,0.02696999762261387,0.06115543184834261
gemma3-12b,2.499317297942198e-155,0.031828227017429475,0.10283338888655008,1.0,0.026962092788136122,1.2530501375278428e-78,0.02831237907680229,0.03229910104884228,0.05692227799053647,0.0201380056235026
llama3.2,0.028211155948762726,0.042637183192790445,0.06214805066895553,0.026981524502883956,1.0,0.19291414253249284,1.2140366994164473e-78,1.494797180343531e-78,9.634409639791993e-79,0.03139170224690334
llama3.1,0.021201296343676776,0.03339254841436589,0.0669731167004449,1.2121443321487336e-78,0.19072978263211982,1.0,0.036621338497940116,9.630486864318312e-79,1.2054574323539403e-78,0.03932712723031279
deepseek-r1-8b,2.2631847216290263e-155,7.956143656640723e-79,0.021400324774783472,0.027893181114646243,1.123806577513052e-78,0.03655660594461154,1.0,0.012274470253652569,0.025849308578213527,1.0168681763570041e-78
deepseek-r1-14b,0.016814335117137022,1.3304297755905098e-78,0.05121466030291373,0.033773730395356034,1.642511334974775e-78,1.1635288665701903e-78,0.013867226895848999,1.0,0.05603268345288728,0.02966011608814612
phi4,0.008795537498727225,0.0312777776526836,0.02754490257560641,0.056939319260056034,9.601967705452187e-79,1.2596951397312947e-78,0.02638787329771647,0.05406493833298753,1.0,0.02392684849790214
orca2-13b,1.4599142433744964e-78,6.765841114610192e-79,0.05880861001745204,0.01798530140728449,0.027357222087621393,0.03697653039778271,9.126195845038372e-79,0.021023120083903498,0.021020715188914338,1.0
